state-label,state-value,city-label,city-value,station-label,station-value,lat,long
Delhi,Delhi,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",site_1435,28.6691641,77.31226695421603
Delhi,Delhi,Delhi,Delhi,"Rohini, Delhi - DPCC",site_1430,28.7162092,77.1170743
Delhi,Delhi,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",site_114,28.6273928,77.1716954
Delhi,Delhi,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",site_1423,28.7259717,77.162658
Delhi,Delhi,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",site_1428,28.5273409,77.2794327
Delhi,Delhi,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",site_1562,28.5396291,77.2000301
Delhi,Delhi,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",site_5393,28.6559834,77.2321937
Delhi,Delhi,Delhi,Delhi,"Pusa, Delhi - IMD",site_107,28.63629965,77.15764441079895
Delhi,Delhi,Delhi,Delhi,"Sirifort, Delhi - CPCB",site_119,28.6273928,77.1716954
Delhi,Delhi,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",site_1420,28.6885171,77.1739339
Delhi,Delhi,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",site_301,28.6468919,77.316053
Delhi,Delhi,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",site_1425,28.612634200000002,77.23733038046025
Delhi,Delhi,Delhi,Delhi,"Lodhi Road, Delhi - IITM",site_5395,28.589735842728707,77.21633357502235
Delhi,Delhi,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",site_1432,28.7199257,77.2481823
Delhi,Delhi,Delhi,Delhi,"Burari Crossing, Delhi - IMD",site_104,28.7285944,77.1993251
Delhi,Delhi,Delhi,Delhi,"Lodhi Road, Delhi - IMD",site_109,28.589735842728707,77.21633357502235
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"Raikhad, Ahmedabad - IITM",site_5452,23.0215374,72.5800568
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",site_5454,23.0215374,72.5800568
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",site_5455,23.0215374,72.5800568
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"Gyaspur, Ahmedabad - IITM",site_5450,22.984527649999997,72.5280630306056
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"Maninagar, Ahmedabad - GPCB",site_308,22.9986596,72.6114013
