state_lbl,state_val,city_lbl,city_val,stn_lbl,stn_val,lat,long,geometry,index_right,Area
Delhi,Delhi,Delhi,Delhi,"Pusa, Delhi - IMD",site_107,28.63629965,77.15764441079895,POINT (77.15764441079895 28.63629965),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Sirifort, Delhi - CPCB",site_119,28.6273928,77.1716954,POINT (77.1716954 28.6273928),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",site_1420,28.6885171,77.1739339,POINT (77.1739339 28.6885171),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",site_301,28.6468919,77.316053,POINT (77.316053 28.6468919),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",site_1425,28.6126342,77.23733038046025,POINT (77.23733038046025 28.6126342),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Lodhi Road, Delhi - IITM",site_5395,28.589735842728707,77.21633357502235,POINT (77.21633357502235 28.589735842728707),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",site_1432,28.7199257,77.2481823,POINT (77.2481823 28.7199257),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Burari Crossing, Delhi - IMD",site_104,28.7285944,77.1993251,POINT (77.1993251 28.7285944),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Lodhi Road, Delhi - IMD",site_109,28.589735842728707,77.21633357502235,POINT (77.21633357502235 28.589735842728707),252,3942949.59384
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"Raikhad, Ahmedabad - IITM",site_5452,23.0215374,72.5800568,POINT (72.5800568 23.0215374),252,3942949.59384
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",site_5454,23.0215374,72.5800568,POINT (72.5800568 23.0215374),252,3942949.59384
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",site_5455,23.0215374,72.5800568,POINT (72.5800568 23.0215374),252,3942949.59384
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"Gyaspur, Ahmedabad - IITM",site_5450,22.98452765,72.5280630306056,POINT (72.5280630306056 22.98452765),252,3942949.59384
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"Maninagar, Ahmedabad - GPCB",site_308,22.9986596,72.6114013,POINT (72.6114013 22.9986596),252,3942949.59384
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",site_5449,23.0215374,72.5800568,POINT (72.5800568 23.0215374),252,3942949.59384
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",site_5456,23.0215374,72.5800568,POINT (72.5800568 23.0215374),252,3942949.59384
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"Rakhial, Ahmedabad - IITM",site_5451,23.02191931983513,72.61231720719366,POINT (72.61231720719366 23.02191931983513),252,3942949.59384
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"Chandkheda, Ahmedabad - IITM",site_5453,23.1100643,72.5811205,POINT (72.5811205 23.1100643),252,3942949.59384
Gujarat,Gujarat,Ankleshwar,Ankleshwar,"GIDC, Ankleshwar - GPCB",site_5065,21.63639045,72.98870170424206,POINT (72.98870170424206 21.63639045),252,3942949.59384
Gujarat,Gujarat,Gandhinagar,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",site_5457,23.2232877,72.6492267,POINT (72.6492267 23.2232877),252,3942949.59384
Gujarat,Gujarat,Gandhinagar,Gandhinagar,"GIFT City, Gandhinagar - IITM",site_5458,23.16290525,72.68869496501037,POINT (72.68869496501037 23.16290525),252,3942949.59384
Gujarat,Gujarat,Nandesari,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",site_5274,22.4178037,73.0949186,POINT (73.0949186 22.4178037),252,3942949.59384
Gujarat,Gujarat,Surat,Surat,"Science Center, Surat - SMC",site_5664,21.2094892,72.8317058,POINT (72.8317058 21.2094892),252,3942949.59384
Gujarat,Gujarat,Vapi,Vapi,"Phase-1 GIDC, Vapi - GPCB",site_5071,28.066902773859507,76.1037251384261,POINT (76.1037251384261 28.066902773859507),252,3942949.59384
Gujarat,Gujarat,Vatva,Vatva,"Phase-4 GIDC, Vatva - GPCB",site_5067,28.066902773859507,76.1037251384261,POINT (76.1037251384261 28.066902773859507),252,3942949.59384
Haryana,Haryana,Ambala,Ambala,"Patti Mehar, Ambala - HSPCB",site_5052,30.3843674,76.770421,POINT (76.770421 30.3843674),252,3942949.59384
Haryana,Haryana,Bahadurgarh,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",site_5045,28.6609648,76.83467647083376,POINT (76.83467647083376 28.6609648),252,3942949.59384
Haryana,Haryana,Ballabgarh,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",site_5060,28.2940728,77.35922381594979,POINT (77.35922381594979 28.2940728),252,3942949.59384
Haryana,Haryana,Bhiwani,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",site_5047,28.7931703,76.1391283,POINT (76.1391283 28.7931703),252,3942949.59384
Haryana,Haryana,Charkhi Dadri,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",site_5339,28.5919933,76.2719817,POINT (76.2719817 28.5919933),252,3942949.59384
Haryana,Haryana,Dharuhera,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",site_5044,28.2055216,76.7953099,POINT (76.7953099 28.2055216),252,3942949.59384
Haryana,Haryana,Faridabad,Faridabad,"Sector 30, Faridabad - HSPCB",site_5341,28.4427368,77.32044886132684,POINT (77.32044886132684 28.4427368),252,3942949.59384
Haryana,Haryana,Faridabad,Faridabad,"Sector 11, Faridabad - HSPCB",site_5342,28.3759341,77.31854412915146,POINT (77.31854412915146 28.3759341),252,3942949.59384
Haryana,Haryana,Faridabad,Faridabad,"New Industrial Town, Faridabad - HSPCB",site_5340,28.4031478,77.3105561,POINT (77.3105561 28.4031478),252,3942949.59384
Haryana,Haryana,Fatehabad,Fatehabad,"Huda Sector, Fatehabad - HSPCB",site_5054,29.5359209,75.57529014661358,POINT (75.57529014661358 29.5359209),252,3942949.59384
Haryana,Haryana,Gurugram,Gurugram,"Teri Gram, Gurugram - HSPCB",site_5344,28.4271632,77.14881132124495,POINT (77.14881132124495 28.4271632),252,3942949.59384
Haryana,Haryana,Gurugram,Gurugram,"Vikas Sadan, Gurugram - HSPCB",site_146,28.4646148,77.0299194,POINT (77.0299194 28.4646148),252,3942949.59384
Haryana,Haryana,Gurugram,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",site_5025,28.4646148,77.0299194,POINT (77.0299194 28.4646148),252,3942949.59384
Haryana,Haryana,Hisar,Hisar,"Urban Estate-II, Hisar - HSPCB",site_5057,29.14079195,75.74205197875179,POINT (75.74205197875179 29.14079195),252,3942949.59384
Haryana,Haryana,Jind,Jind,"Police Lines, Jind - HSPCB",site_5056,29.3152073,76.314082,POINT (76.314082 29.3152073),252,3942949.59384
Haryana,Haryana,Kaithal,Kaithal,"Rishi Nagar, Kaithal - HSPCB",site_5072,29.7996588,76.3989903,POINT (76.3989903 29.7996588),252,3942949.59384
Haryana,Haryana,Mandikhera,Mandikhera,"General Hospital, Mandikhera - HSPCB",site_5055,27.897075,76.9922014,POINT (76.9922014 27.897075),252,3942949.59384
Haryana,Haryana,Narnaul,Narnaul,"Shastri Nagar, Narnaul - HSPCB",site_5053,28.0438456,76.1062015,POINT (76.1062015 28.0438456),252,3942949.59384
Haryana,Haryana,Palwal ,Palwal ,"Shyam Nagar, Palwal - HSPCB",site_5050,28.0599426,77.32234220926105,POINT (77.32234220926105 28.0599426),252,3942949.59384
Haryana,Haryana,Panchgaon,Panchgaon,"Amity University, Panchgaon - IITM",site_6011,21.93637165,79.19734213658083,POINT (79.19734213658083 21.93637165),252,3942949.59384
Haryana,Haryana,Rohtak,Rohtak,"MD University, Rohtak - HSPCB",site_147,28.9010899,76.5801935,POINT (76.5801935 28.9010899),252,3942949.59384
Haryana,Haryana,Sonipat,Sonipat,"Murthal, Sonipat - HSPCB",site_5041,29.0396149,77.0894535,POINT (77.0894535 29.0396149),252,3942949.59384
Haryana,Haryana,Yamuna Nagar,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",site_5046,19.1481254,72.827599,POINT (72.827599 19.1481254),252,3942949.59384
Himachal Pradesh,Himachal Pradesh,Baddi,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",site_5586,30.9763026,76.7674000810934,POINT (76.7674000810934 30.9763026),252,3942949.59384
Jammu and Kashmir,Jammu and Kashmir,Srinagar,Srinagar,"Rajbagh, Srinagar - JKSPCB",site_5424,34.065992,74.8279023,POINT (74.8279023 34.065992),252,3942949.59384
Jharkhand,Jharkhand,Dhanbad,Dhanbad,"Kalakusuma, Dhanbad - DMC",site_5827,23.7952809,86.4309638,POINT (86.4309638 23.7952809),252,3942949.59384
Jharkhand,Jharkhand,Dhanbad,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",site_5710,23.7952809,86.4309638,POINT (86.4309638 23.7952809),252,3942949.59384
